dates,index,temp_effects,salt_effects,intrusion_ID
2000-04-23 11:59:40.465528,70,0.34812857142857145,0.40792619047619044,1
2001-10-06 23:15:51.743910,191,,,1
2002-03-17 23:19:33.864771,210,0.16394210526315792,0.07333499999999979,1
2002-11-22 16:40:42.905318,244,0.08983800000000006,-0.0025476190476183547,1
2003-12-03 06:51:51.571917,320,0.9562043478260869,0.44765000000000027,1
2005-03-19 05:44:38.847700,410,0.050981999999999986,-0.006171428571428568,1
2005-10-21 08:45:52.792898,440,-0.026043478260869554,-0.00844130434782549,1
2006-10-29 12:35:53.554173,494,1.4141818181818182,0.4341666666666673,1
2007-04-14 23:29:06.759672,513,-0.021534782608695666,0.07335263157894732,1
2007-07-28 13:57:53.049391,527,0.1486961538461538,0.18581458333333348,1
2008-02-24 00:00:02.975075,553,-0.08187777777777797,-0.019150000000000764,1
2008-10-10 09:14:57.741469,585,,,1
2009-03-21 14:21:52.201736,608,0.049336363636363616,0.09635416666666607,1
2009-05-03 13:08:36.062907,614,0.814,0.11579999999999968,1
2010-05-16 07:13:05.641507,666,0.6872450000000001,0.08196521739130425,1
2010-10-10 05:32:06.714545,686,2.7375374999999997,0.4020777777777778,1
2012-09-01 09:46:51.756159,782,2.072205357142857,0.3534976190476182,1
2012-10-12 17:01:36.207662,787,-0.007180769230769166,0.002136363636362856,1
2013-04-06 04:24:14.979530,811,0.039546153846153856,-0.015861111111110462,1
2013-09-14 12:14:16.067942,835,2.062054347826087,0.42351999999999906,1
2014-03-23 15:32:52.403614,863,0.25940689655172416,0.304788461538462,1
2014-07-12 00:20:55.295559,878,0.009817241379310298,-0.002597916666665719,1
2015-05-30 19:34:15.070409,925,0.5650270833333333,0.1874568181818182,1
2016-05-21 17:45:59.638950,973,0.44289705882352937,0.2225631578947372,1
2016-10-28 21:47:22.019704,995,0.06455000000000011,0.00297500000000106,1
2018-10-20 23:50:12.566217,1097,2.336675,0.36828095238095215,1
2018-11-17 00:36:53.226512,1100,-0.07931666666666663,-0.027107894736843344,1
2022-11-26 16:09:11.440105,1264,3.3717634615384617,0.7784576923076926,1
2023-03-24 11:56:37.036704,1274,-1.2159846153846154,0.11757500000000014,1
2023-02-11 10:32:01.146975,1279,-0.021178571428571363,0.001863461538462593,1
